Date/Time		 Flowrate(obs)[L/s]	 Heatinlet(tot)[W]	 Heatinlet(fric)[W]	 Heatinlet(elec)[W]	 Temperature 1(obs)[K]	 Temperature 2(obs)[K]	 Pressure drop[Pa]	 V_SCR		 V_pump		 V_S		 V_G		 V_R1		 V_R2		 V_flow		 V_deltaPressure	 V_Q_elec
07/14/17 04:46:02 PM	 0.187073		 1440.095743		 2.445295		 1265.497000		 293.148799		 294.989458		 13071.356111		 1.600000	 0.000000	 4.630925	 0.010240	 1.621032	 1.706306	 2.965164	 0.379168		 1.265497
07/14/17 04:46:07 PM	 0.186565		 1438.148248		 2.525581		 1231.883000		 293.130308		 294.973367		 13537.303789		 1.600000	 0.000000	 4.633216	 0.010240	 1.620958	 1.706380	 2.939648	 0.392684		 1.231883
07/14/17 04:46:10 PM	 0.186709		 1444.979173		 2.492689		 1235.531000		 293.113055		 294.963483		 13350.662717		 1.600000	 0.000000	 4.633426	 0.010240	 1.620217	 1.705986	 2.937592	 0.387270		 1.235531
07/14/17 04:46:14 PM	 0.186998		 1442.226212		 2.443758		 1199.179000		 293.121592		 294.965698		 13068.356892		 1.600000	 0.000000	 4.633817	 0.010240	 1.620756	 1.706235	 2.980358	 0.379081		 1.199179
07/14/17 04:46:18 PM	 0.187362		 1439.943958		 2.529731		 1208.126000		 293.128764		 294.966264		 13501.830264		 1.600000	 0.000000	 4.633629	 0.010240	 1.621029	 1.706193	 2.956043	 0.391655		 1.208126
07/14/17 04:46:22 PM	 0.186816		 1440.519449		 2.511482		 1199.360000		 293.121502		 294.965135		 13443.638515		 1.600000	 0.000000	 4.633743	 0.010240	 1.620726	 1.706181	 2.985662	 0.389967		 1.199360
07/14/17 04:46:26 PM	 0.186268		 1436.333605		 2.504161		 1246.997000		 293.122871		 294.966555		 13443.879832		 1.600000	 0.000000	 4.633414	 0.010240	 1.620676	 1.706128	 2.950841	 0.389974		 1.246997
07/14/17 04:46:27 PM	 0.186268		 1433.813530		 2.430977		 1231.628000		 293.124007		 294.964544		 13050.982104		 1.600000	 0.000000	 4.633329	 0.010240	 1.620700	 1.706001	 2.939932	 0.378577		 1.231628
07/14/17 04:46:30 PM	 0.185963		 1432.776381		 2.412777		 1227.131000		 293.123142		 294.965386		 12974.519249		 1.600000	 0.000000	 4.633116	 0.010240	 1.620585	 1.705963	 2.943320	 0.376359		 1.227131
