Date/Time		 Flowrate(obs)[L/s]	 Heatinlet(tot)[W]	 Heatinlet(fric)[W]	 Heatinlet(elec)[W]	 Temperature 1(obs)[K]	 Temperature 2(obs)[K]	 Pressure drop[Pa]	 V_SCR		 V_pump		 V_S		 V_G		 V_R1		 V_R2		 V_flow		 V_deltaPressure	 V_Q_elec
07/14/17 02:30:54 PM	 0.243444		 1858.643599		 16.114451		 809.222000		 292.435965		 294.248259		 66193.631685		 1.600000	 0.000000	 4.643159	 0.010496	 1.591844	 1.675637	 3.858668	 1.920115		 0.809222
07/14/17 02:30:59 PM	 0.236853		 1810.435698		 9.558657		 810.812000		 292.436023		 294.256645		 40356.943253		 1.600000	 0.000000	 4.642776	 0.010496	 1.591716	 1.675898	 3.775597	 1.170656		 0.810812
07/14/17 02:31:03 PM	 0.238329		 1835.616688		 9.904289		 789.116000		 292.439010		 294.273312		 41557.182552		 1.600000	 0.000000	 4.642466	 0.010240	 1.591582	 1.676415	 3.814314	 1.205472		 0.789116
07/14/17 02:31:04 PM	 0.238329		 1814.221355		 9.697449		 779.795000		 292.431732		 294.244734		 40689.305014		 1.600000	 0.000000	 4.642579	 0.010496	 1.591447	 1.675261	 3.719123	 1.180297		 0.779795
07/14/17 02:31:09 PM	 0.241235		 1870.863387		 9.878573		 806.822000		 292.441198		 294.288422		 40949.995776		 1.600000	 0.000000	 4.642273	 0.010240	 1.591619	 1.677064	 3.772092	 1.187859		 0.806822
07/14/17 02:31:14 PM	 0.238408		 1847.688162		 9.810261		 786.059000		 292.437577		 294.283493		 41149.012937		 1.600000	 0.000000	 4.642480	 0.010496	 1.591688	 1.677068	 3.650293	 1.193632		 0.786059
07/14/17 02:31:18 PM	 0.236756		 1831.997610		 9.752130		 785.137000		 292.437439		 294.280427		 41190.691743		 1.600000	 0.000000	 4.642168	 0.010496	 1.591575	 1.676810	 3.717344	 1.194841		 0.785137
07/14/17 02:31:19 PM	 0.236756		 1791.659908		 9.589178		 809.385000		 292.435064		 294.237406		 40502.422626		 1.600000	 0.000000	 4.642580	 0.010496	 1.591604	 1.674913	 3.788171	 1.174876		 0.809385
07/14/17 02:31:23 PM	 0.238670		 1831.490517		 9.837563		 796.876000		 292.441438		 294.269051		 41218.339719		 1.600000	 0.000000	 4.642162	 0.010496	 1.591761	 1.676267	 3.742718	 1.195643		 0.796876
