Date/Time		 Flowrate(obs)[L/s]	 Heatinlet(tot)[W]	 Heatinlet(fric)[W]	 Heatinlet(elec)[W]	 Temperature 1(obs)[K]	 Temperature 2(obs)[K]	 Pressure drop[Pa]	 V_SCR		 V_pump		 V_S		 V_G		 V_R1		 V_R2		 V_flow		 V_deltaPressure	 V_Q_elec
07/14/17 03:05:48 PM	 0.028220		 334.651528		 0.434395		 478.515000		 272.113743		 274.921734		 15392.889740		 1.600000	 0.000000	 4.278008	 0.282112	 0.935300	 1.016645	 0.447304	 0.446510		 0.478515
07/14/17 03:05:53 PM	 0.028065		 210.076714		 0.432571		 479.608000		 273.775085		 275.547681		 15413.401642		 1.600000	 0.000000	 4.272814	 0.261120	 0.964422	 1.017551	 0.447319	 0.447105		 0.479608
07/14/17 03:05:57 PM	 0.028180		 342.311997		 0.433319		 477.967000		 272.292985		 275.169875		 15376.549166		 1.600000	 0.000000	 4.281914	 0.281856	 0.940733	 1.024626	 0.446884	 0.446036		 0.477967
07/14/17 03:06:03 PM	 0.028028		 313.286385		 0.431906		 479.106000		 272.186374		 274.832963		 15410.057685		 1.600000	 0.000000	 4.273903	 0.279040	 0.934083	 1.010725	 0.447580	 0.447008		 0.479106
07/14/17 03:06:08 PM	 0.028065		 121.086664		 0.432351		 479.631000		 275.293020		 276.313969		 15405.610567		 1.600000	 0.000000	 4.269134	 0.249600	 0.999687	 1.031216	 0.446691	 0.446879		 0.479631
07/14/17 03:06:12 PM	 0.028064		 280.305779		 0.431919		 478.670000		 273.094437		 275.460292		 15390.717892		 1.600000	 0.000000	 4.284746	 0.269056	 0.953302	 1.023568	 0.447050	 0.446447		 0.478670
07/14/17 03:06:13 PM	 0.028064		 69.879581		 0.432412		 480.341000		 277.014390		 277.602609		 15408.265048		 1.600000	 0.000000	 4.246867	 0.254464	 1.052779	 1.071397	 0.445716	 0.446956		 0.480341
07/14/17 03:06:18 PM	 0.028073		 230.285919		 0.434089		 481.172000		 272.461827		 274.402998		 15462.871524		 1.600000	 0.000000	 4.244856	 0.275456	 0.933988	 0.989770	 0.448855	 0.448540		 0.481172
