Date/Time		 Flowrate(obs)[L/s]	 Heatinlet(tot)[W]	 Heatinlet(fric)[W]	 Heatinlet(elec)[W]	 Temperature 1(obs)[K]	 Temperature 2(obs)[K]	 Pressure drop[Pa]	 V_SCR		 V_pump		 V_S		 V_G		 V_R1		 V_R2		 V_flow		 V_deltaPressure	 V_Q_elec
07/14/17 04:39:09 PM	 0.187319		 1433.883074		 7.467190		 1238.283000		 293.107694		 294.931533		 39863.451021		 1.600000	 0.000000	 4.634770	 0.010240	 1.620432	 1.704956	 2.969070	 1.156341		 1.238283
07/14/17 04:39:13 PM	 0.186708		 1469.428890		 7.742294		 1189.744000		 293.080644		 294.955697		 41467.378342		 1.600000	 0.000000	 4.629483	 0.010240	 1.617316	 1.704169	 2.971823	 1.202867		 1.189744
07/14/17 04:39:17 PM	 0.187874		 1431.844493		 7.926212		 1197.359000		 293.109904		 294.925173		 42189.018083		 1.600000	 0.000000	 4.631659	 0.010240	 1.619453	 1.703513	 2.994610	 1.223800		 1.197359
07/14/17 04:39:21 PM	 0.187909		 1441.838677		 8.074775		 1244.964000		 293.135292		 294.962793		 42971.745371		 1.600000	 0.000000	 4.630274	 0.010240	 1.620168	 1.704797	 3.005482	 1.246505		 1.244964
07/14/17 04:39:25 PM	 0.188860		 1380.215714		 8.170302		 1239.371000		 293.114912		 294.854895		 43261.118323		 1.600000	 0.000000	 4.632738	 0.010240	 1.620065	 1.700561	 2.952405	 1.254899		 1.239371
07/14/17 04:39:29 PM	 0.186700		 1426.669834		 8.031894		 1245.632000		 293.097065		 294.916965		 43020.284461		 1.600000	 0.000000	 4.633436	 0.010240	 1.619466	 1.703773	 2.985846	 1.247913		 1.245632
07/14/17 04:39:32 PM	 0.188001		 1436.982878		 7.872789		 1228.798000		 293.105639		 294.926293		 41876.306379		 1.600000	 0.000000	 4.633331	 0.010240	 1.619834	 1.704179	 2.984137	 1.214729		 1.228798
07/14/17 04:39:37 PM	 0.187252		 1427.615435		 7.844914		 1198.217000		 293.108532		 294.924528		 41895.060118		 1.600000	 0.000000	 4.632155	 0.010240	 1.619561	 1.703664	 2.964431	 1.215273		 1.198217
