Date/Time		 Flowrate(obs)[L/s]	 Heatinlet(tot)[W]	 Heatinlet(fric)[W]	 Heatinlet(elec)[W]	 Temperature 1(obs)[K]	 Temperature 2(obs)[K]	 Pressure drop[Pa]	 V_SCR		 V_pump		 V_S		 V_G		 V_R1		 V_R2		 V_flow		 V_deltaPressure	 V_Q_elec
07/14/17 04:59:10 PM	 0.188958		 1433.074637		 2.504585		 1192.370000		 293.153054		 294.966369		 13254.722173		 1.600000	 0.000000	 4.634316	 0.010240	 1.622415	 1.706450	 2.995044	 0.384487		 1.192370
07/14/17 04:59:15 PM	 0.188409		 1430.910643		 2.514950		 827.597000		 293.153817		 294.969656		 13348.387447		 1.600000	 0.000000	 4.633728	 0.010240	 1.622246	 1.706391	 2.963484	 0.387204		 0.827597
07/14/17 04:59:18 PM	 0.186066		 1416.644823		 2.501540		 841.690000		 293.154909		 294.975269		 13444.396938		 1.600000	 0.000000	 4.633018	 0.010240	 1.622050	 1.706398	 2.956046	 0.389989		 0.841690
07/14/17 04:59:23 PM	 0.186686		 1420.647575		 2.500828		 863.162000		 293.147210		 294.966649		 13395.892323		 1.600000	 0.000000	 4.633917	 0.010240	 1.622000	 1.706317	 2.966905	 0.388582		 0.863162
07/14/17 04:59:26 PM	 0.187102		 1420.295285		 2.462509		 831.703000		 293.153432		 294.968425		 13161.298216		 1.600000	 0.000000	 4.633479	 0.010240	 1.622141	 1.706241	 2.967931	 0.381777		 0.831703
07/14/17 04:59:30 PM	 0.187297		 1420.586140		 2.447523		 816.802000		 293.152895		 294.966397		 13067.632942		 1.600000	 0.000000	 4.633609	 0.010240	 1.622161	 1.706192	 2.960845	 0.379060		 0.816802
07/14/17 04:59:34 PM	 0.187429		 1422.012641		 2.501872		 833.544000		 293.152647		 294.966618		 13348.352973		 1.600000	 0.000000	 4.633264	 0.010240	 1.622029	 1.706076	 2.971824	 0.387203		 0.833544
07/14/17 04:59:35 PM	 0.187429		 1420.549579		 2.537138		 828.552000		 293.154743		 294.966801		 13536.510892		 1.600000	 0.000000	 4.633333	 0.010240	 1.622152	 1.706110	 2.968906	 0.392661		 0.828552
07/14/17 04:59:38 PM	 0.187582		 1486.562121		 2.486298		 861.753000		 293.061751		 294.956648		 13254.446383		 1.600000	 0.000000	 4.632340	 0.010240	 1.617419	 1.705262	 2.965794	 0.384479		 0.861753
