Date/Time		 Flowrate(obs)[L/s]	 Heatinlet(tot)[W]	 Heatinlet(fric)[W]	 Heatinlet(elec)[W]	 Temperature 1(obs)[K]	 Temperature 2(obs)[K]	 Pressure drop[Pa]	 V_SCR		 V_pump		 V_S		 V_G		 V_R1		 V_R2		 V_flow		 V_deltaPressure	 V_Q_elec
07/14/17 02:26:55 PM	 0.165987		 2393.275286		 0.322331		 478.016000		 269.042092		 272.452686		 1941.908309		 1.600000	 0.000000	 4.253728	 0.307968	 0.872193	 0.962508	 2.630943	 0.056330		 0.478016
07/14/17 02:27:00 PM	 0.170948		 1022.937743		 0.370335		 477.120000		 274.197698		 275.617371		 2166.367123		 1.600000	 0.000000	 4.287514	 0.249088	 0.969597	 1.012707	 2.637734	 0.062841		 0.477120
07/14/17 02:27:05 PM	 0.167736		 338.910333		 0.302506		 478.146000		 275.818173		 276.297641		 1803.461588		 1.600000	 0.000000	 4.267714	 0.247296	 1.013679	 1.028574	 2.637108	 0.052314		 0.478146
07/14/17 02:27:10 PM	 0.167356		 2888.985643		 0.455823		 478.983000		 274.823938		 278.925492		 2723.670331		 1.600000	 0.000000	 4.214304	 0.287488	 1.006376	 1.133240	 2.700112	 0.079007		 0.478983
07/14/17 02:27:15 PM	 0.167413		 3278.693405		 0.596764		 476.108000		 271.103615		 275.745929		 3564.623843		 1.600000	 0.000000	 4.187368	 0.317696	 0.923404	 1.053211	 2.677449	 0.103401		 0.476108
07/14/17 02:27:20 PM	 0.167920		 3081.539824		 0.601847		 474.023000		 270.589882		 274.937649		 3584.136005		 1.600000	 0.000000	 4.201521	 0.317184	 0.911783	 1.031674	 2.640135	 0.103967		 0.474023
07/14/17 02:27:21 PM	 0.167920		 2127.793970		 0.447558		 475.959000		 271.178908		 274.180789		 2665.306213		 1.600000	 0.000000	 4.283356	 0.288256	 0.915635	 1.000641	 2.658456	 0.077314		 0.475959
07/14/17 02:27:25 PM	 0.167622		 2244.356930		 0.287033		 477.980000		 269.474318		 272.642359		 1712.381849		 1.600000	 0.000000	 4.258874	 0.303360	 0.879926	 0.964802	 2.615528	 0.049672		 0.477980
