Date/Time		 Flowrate(obs)[L/s]	 Heatinlet(tot)[W]	 Heatinlet(fric)[W]	 Heatinlet(elec)[W]	 Temperature 1(obs)[K]	 Temperature 2(obs)[K]	 Pressure drop[Pa]	 V_SCR		 V_pump		 V_S		 V_G		 V_R1		 V_R2		 V_flow		 V_deltaPressure	 V_Q_elec
07/14/17 04:37:45 PM	 0.077112		 581.727804		 1.031008		 1864.023000		 293.108557		 294.912202		 13370.347248		 1.600000	 0.000000	 4.635104	 0.010240	 1.620589	 1.704157	 1.222243	 0.387841		 1.864023
07/14/17 04:37:49 PM	 0.077237		 585.484994		 1.016551		 1201.172000		 293.100327		 294.912725		 13161.367164		 1.600000	 0.000000	 4.634864	 0.010240	 1.620117	 1.704094	 1.222012	 0.381779		 1.201172
07/14/17 04:37:53 PM	 0.076999		 583.473087		 1.027890		 1228.135000		 293.093952		 294.905674		 13349.456134		 1.600000	 0.000000	 4.634266	 0.010240	 1.619608	 1.703539	 1.220684	 0.387235		 1.228135
07/14/17 04:37:57 PM	 0.077024		 573.945134		 1.028180		 1209.183000		 293.107710		 294.889202		 13348.801133		 1.600000	 0.000000	 4.633823	 0.010240	 1.620103	 1.702592	 1.221329	 0.387216		 1.209183
07/14/17 04:38:01 PM	 0.077037		 584.712960		 1.021144		 1248.994000		 293.106599		 294.921299		 13255.204806		 1.600000	 0.000000	 4.633784	 0.010240	 1.620037	 1.704107	 1.220355	 0.384501		 1.248994
07/14/17 04:38:05 PM	 0.077025		 587.671495		 1.006670		 1222.366000		 293.096408		 294.920645		 13069.460053		 1.600000	 0.000000	 4.633910	 0.010240	 1.619600	 1.704122	 1.220654	 0.379113		 1.222366
07/14/17 04:38:08 PM	 0.077021		 585.169430		 1.006465		 1240.367000		 293.107254		 294.923794		 13067.357152		 1.600000	 0.000000	 4.633566	 0.010240	 1.619992	 1.704146	 1.220917	 0.379052		 1.240367
07/14/17 04:38:09 PM	 0.077021		 583.733849		 1.016292		 1207.477000		 293.139735		 294.951801		 13194.944630		 1.600000	 0.000000	 4.628789	 0.010240	 1.619860	 1.703729	 1.220690	 0.382753		 1.207477
07/14/17 04:38:13 PM	 0.076865		 583.152713		 1.026074		 1222.978000		 293.110593		 294.924493		 13349.111397		 1.600000	 0.000000	 4.633415	 0.010240	 1.620097	 1.704124	 1.220843	 0.387225		 1.222978
